"N","Q","S","P0","P1","P2","R1","R2","A1","A2","t"
200,8,0,51.9098327840954,39.1892533874365,68.5232388657888,10.0839528956573,29.1018307757659,0.579117356202657,1.83303855541061,89
200,8,0,49.3187110141885,39.8507465363778,70.3102195556116,10.046660198771,29.1193109619834,0.592132011032628,1.86023622644962,90
200,8,0,46.7419885455865,40.4889483903243,72.1055797577896,10.0232023962058,29.1390007234336,0.600630158098668,1.89732166687018,91
200,8,0,44.1802527717576,41.1279202357596,73.9084588058344,10.0083733433036,29.1616081968089,0.604068931756004,1.94433927073139,92
200,8,0,41.6289244470476,41.7761753261558,75.7180992633202,9.99658606229391,29.1877413008953,0.603700402535216,2.00475058586715,93
200,8,0,39.0802568177612,42.4380150930022,77.5338190360888,9.98199982500687,29.2178936425688,0.601040954621435,2.08239534759351,94
200,8,1,36.5264130272705,43.1137383342148,79.354959701175,9.95887527769747,29.2524859818713,0.596539395388304,2.17834615863546,95
200,8,0,33.9611967120272,43.7879797813958,81.1809046833153,9.92204767591603,29.2917428994386,0.587322512960318,2.28626703709597,96
200,8,0,31.3804230457764,44.4423702560366,83.0110372742585,9.86674429869046,29.335800867804,0.569931210184176,2.39627454769789,97
200,8,0,28.7869187909005,45.0685341171087,84.8446976061778,9.78985377127837,29.3845890265813,0.541821648844764,2.4914600298827,98
200,8,0,26.1875358539825,45.684388276486,86.6812120966445,9.69118453654914,29.4377931324665,0.501141995553623,2.55316802556407,99
200,8,0,23.5898030712377,46.315351931982,88.5199249192804,9.57326626141939,29.4949521582183,0.448431671742895,2.56475435120783,100
200,8,0,21.0015332672329,46.991472978735,90.3602543915963,9.4468420625367,29.555222260512,0.386847266745477,2.51747728960064,101
200,8,0,18.430667384891,47.7293568658792,92.2016602033599,9.32440413390835,29.6176697532556,0.319926807021144,2.40703048447871,102
200,8,0,15.8835931655636,48.4953844797998,94.0437250445508,9.21544589445798,29.6814558025323,0.250580089728553,2.23895606584839,103
200,8,0,13.3596287252986,49.2740327609177,95.8861810617329,9.12202993886904,29.7460330643206,0.181192966329746,2.02238489691437,104
200,8,0,10.8553058909542,50.0571774363489,97.7288247524251,9.04361916505897,29.810979636809,0.112590227611777,1.77049003274881,105
200,8,0,8.36313807920298,50.8335937056201,99.571583397667,8.97640422304808,29.8760897583839,0.0448557472317138,1.49571412143157,106
200,8,1,5.87575294626467,51.5940798251799,101.414416866405,8.91594054454026,29.9412355599124,0,1.20905487757486,107
