"P_nought","P_one","P_two","R_one","R_two","A_one","A_two","S","t","phi","p_onetwo","total_passive","lmbda","c","N","mu","p","k_one","k_two","Q","X"
106.45119,15.31522,7.91408,9.76189,11.06168,1.03116,8.09018,-0.41478,57,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
104.09165,16.42135,9.16749,9.72215,11.32356,0.93831,7.94639,-0.40182,58,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
101.70693,17.52298,10.45058,9.67617,11.58226,0.85344,7.80445,-0.38927,59,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
99.29811,18.6194,11.76298,9.62462,11.83776,0.77588,7.6644,-0.37711,60,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
96.86618,19.70997,13.10433,9.56807,12.09004,0.705,7.52628,-0.36533,61,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
94.41207,20.79414,14.47427,9.50708,12.33907,0.64024,7.39012,-0.35392,62,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
91.93666,21.8714,15.87242,9.44214,12.58484,0.58108,7.25594,-0.34286,63,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
89.44075,22.94131,17.29843,9.37369,12.82736,0.52705,7.12376,-0.33215,64,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
86.92512,24.00345,18.75191,9.30214,13.06662,0.47772,6.99359,-0.32177,65,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
84.39049,25.05749,20.23251,9.22787,13.30262,0.43268,6.86545,-0.31172,66,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
81.83753,26.10311,21.73984,9.15123,13.53538,0.39157,6.73933,-0.30198,67,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
79.26688,27.14005,23.27355,9.07252,13.76491,0.35405,6.61523,-0.29255,68,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
76.67914,28.16807,24.83327,8.99202,13.99123,0.31983,6.49316,-0.28341,69,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
75.09378,28.16807,26.41864,8.91,14.21434,0.28861,6.3731,-0.27456,70,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
73.48313,28.16807,28.02928,8.82669,14.43429,0.26015,6.25505,-0.26598,71,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
71.84757,28.16807,29.66485,8.7423,14.65108,0.2342,6.13899,-0.25767,72,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
70.18743,28.16807,31.32498,8.65702,14.86475,0.21056,6.02492,-0.24962,73,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
68.50309,28.16807,33.00933,8.57104,15.07533,0.18902,5.91281,-0.24183,74,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
66.79488,28.16807,34.71753,8.48451,15.28284,0.16941,5.80264,-0.23427,75,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
65.06316,28.16807,36.44925,8.39758,15.48732,0.15156,5.69441,-0.22695,76,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
63.30828,28.16807,38.20414,8.31037,15.68879,0.13532,5.58808,-0.21986,77,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
61.53056,28.16807,39.98186,8.22302,15.88729,0.12056,5.48364,-0.21299,78,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
59.73035,28.16807,41.78207,8.13562,16.08286,0.10713,5.38106,-0.20634,79,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
57.90798,28.16807,43.60444,8.04828,16.27553,0.09493,5.28033,-0.1999,80,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
56.06378,28.16807,45.44864,7.96107,16.46533,0.08386,5.18141,-0.19365,81,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
54.19807,28.16807,47.31434,7.87409,16.6523,0.07381,5.08429,-0.1876,82,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
52.31118,28.16807,49.20124,7.7874,16.83648,0.0647,4.98893,-0.18174,83,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
50.40342,28.16807,51.109,7.70106,17.0179,0.05644,4.89532,-0.17606,84,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
48.4751,28.16807,53.03732,7.61514,17.19661,0.04896,4.80342,-0.17056,85,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
46.52653,28.16807,54.98589,7.52969,17.37263,0.0422,4.71321,-0.16524,86,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
44.55801,28.16807,56.95441,7.44474,17.546,0.03608,4.62467,-0.16007,87,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
42.56985,28.16807,58.94257,7.36035,17.71677,0.03056,4.53777,-0.15507,88,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
40.56234,28.16807,60.95008,7.27655,17.88496,0.02558,4.45248,-0.15023,89,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
38.53577,28.16807,62.97665,7.19336,18.05062,0.02109,4.36878,-0.14554,90,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
36.49043,28.16807,65.02198,7.11083,18.21378,0.01705,4.28664,-0.14099,91,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
34.42661,28.16807,67.08581,7.02896,18.37448,0.01342,4.20603,-0.13659,92,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
32.34457,28.16807,69.16785,6.94779,18.53275,0.01016,4.12693,-0.13232,93,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
30.2446,28.16807,71.26782,6.86734,18.68863,0.00724,4.04931,-0.12819,94,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
28.12697,28.16807,73.38545,6.78762,18.84216,0.00463,3.97315,-0.12418,95,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
25.99194,28.16807,75.52048,6.70864,18.99337,0.00231,3.89842,-0.1203,96,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
