"S","A1","A2","P1","P2","R1","R2","t","Q","N"
28.3385273973116,1.01347480448611,-5.27560785579918,-0.0112562133245356,3.46788543379258,2.33556964770914,10.9692714466367,352,8,200
28.291876184246,1.01456296214153,-5.31247739911966,-0.0113463946572869,3.41667201889686,2.34888907388221,11.0696682086849,353,8,200
28.2455907490405,1.01570777872901,-5.34852793535007,-0.0114335349402448,3.36425651682037,2.36239204074638,11.1701340694208,354,8,200
28.1996707277485,1.016905908955,-5.38374772098821,-0.0115176279918287,3.31068287101346,2.37608318105589,11.2706432499072,355,8,200
28.1541149746851,1.01815414771795,-5.4181256545352,-0.0115986740457836,3.2559966543524,2.38996706593793,11.3711701614049,356,8,200
28.1089215526289,1.01944944060528,-5.45165128833879,-0.0116766796371391,3.20024501635454,2.40404820021392,11.4716894506803,357,8,200
28.0640877256382,1.02078889351538,-5.48431483976942,-0.0117516574638344,3.14347662762725,2.41833101777427,11.5721760448563,358,8,200
28.0196099545371,1.02216978136389,-5.51610720172662,-0.0118236262250145,3.08574162167078,2.43281987701449,11.6726051956755,359,8,200
27.9754838951114,1.02358955583918,-5.54701995247325,-0.0118926104371386,3.02709153416083,2.44751905634098,11.7729525230498,360,8,200
27.9317043990429,1.02504585217747,-5.57704536479532,-0.0119586402291676,2.96757923984154,2.4624327497546,11.8731940577715,361,8,200
27.8882655175956,1.02653649493376,-5.60617641448486,-0.0120217511182095,2.90725888716477,2.4775650625202,11.9733062832652,362,8,200
27.845160508054,1.02805950273068,-5.63440678814305,-0.0120819837671066,2.84618583081569,2.49292000693029,12.0732661762609,363,8,200
27.8023818428996,1.02961309197304,-5.66173089030058,-0.0121393837255394,2.78441656226906,2.50850149817087,12.173051246276,364,8,200
27.759921221699,1.03119567952208,-5.68814384985173,-0.012194001156297,2.72200863852409,2.5243133502975,12.2726395737956,365,8,200
27.7177695856622,1.03280588432869,-5.71364152579796,-0.0122458905484334,2.65902060916917,2.54035927232922,12.3720098470471,366,8,200
27.6759171348167,1.0344425280312,-5.73822051229662,-0.0122951104190733,2.59551194193085,2.55664286446827,12.4711413972687,367,8,200
27.63435334773,1.03610463452848,-5.76187814300931,-0.0123417230056743,2.53154294686388,2.57316761445283,12.5700142323784,368,8,200
27.5930670037008,1.03779142854477,-5.78461249474426,-0.0123857939505711,2.46717469934168,2.58993689405008,12.6686090689562,369,8,200
27.5520462073272,1.03950233320797,-5.80642239038609,-0.0124273919796367,2.40246896200821,2.60695395569645,12.7669073624571,370,8,200
27.511278415347,1.04123696666784,-5.82730740110611,-0.012466588576894,2.337488105854,2.6242219292917,12.86489133558,371,8,200
27.4707504656364,1.0429951377858,-5.84726784784548,-0.0125034576568874,2.27229503058019,2.64174381915306,12.9625440047255,372,8,200
27.4304486082422,1.04477684093204,-5.86630480206327,-0.0125380752365976,2.20695308441547,2.65952250113517,13.0598492044802,373,8,200
