P_nought, P_one, P_two, R_one, R_two, A_one, A_two, S,
0.22015   , 46.36042  , 109.41943 , 8.35911   , 25.22669  , 5.6323    , 9.38497   , 3.50887   , 
-3.10484  , 47.18797  , 111.91687 , 8.37672   , 25.48141  , 5.54837   , 9.28727   , 3.41764   , 
-3.10484  , 47.18797  , 111.91687 , 8.39293   , 25.7343   , 5.46518   , 9.18968   , 3.32878   , 
-3.10484  , 47.18797  , 111.91687 , 8.40776   , 25.98535  , 5.38276   , 9.09222   , 3.24223   , 
-3.10484  , 47.18797  , 111.91687 , 8.42124   , 26.23457  , 5.3011    , 8.99493   , 3.15793   , 
-3.10484  , 47.18797  , 111.91687 , 8.43339   , 26.48193  , 5.22023   , 8.89785   , 3.07583   , 
-3.10484  , 47.18797  , 111.91687 , 8.44423   , 26.72744  , 5.14015   , 8.801     , 2.99585   , 
-3.10484  , 47.18797  , 111.91687 , 8.45377   , 26.97109  , 5.06088   , 8.70441   , 2.91796   , 
-3.10484  , 47.18797  , 111.91687 , 8.46206   , 27.21288  , 4.98241   , 8.60812   , 2.84209   , 
-3.10484  , 47.18797  , 111.91687 , 8.4691    , 27.45279  , 4.90476   , 8.51214   , 2.7682    , 
-3.10484  , 47.18797  , 111.91687 , 8.47492   , 27.69083  , 4.82794   , 8.41651   , 2.69623   , 
-3.10484  , 47.18797  , 111.91687 , 8.47954   , 27.927    , 4.75195   , 8.32124   , 2.62612   , 
-3.10484  , 47.18797  , 111.91687 , 8.48298   , 28.16129  , 4.67679   , 8.22637   , 2.55785   , 
-3.10484  , 47.18797  , 111.91687 , 8.48527   , 28.3937   , 4.60248   , 8.13192   , 2.49134   , 
-3.10484  , 47.18797  , 111.91687 , 8.48642   , 28.62423  , 4.52901   , 8.0379    , 2.42657   , 
-3.10484  , 47.18797  , 111.91687 , 8.48647   , 28.85288  , 4.45639   , 7.94434   , 2.36348   , 
-3.10484  , 47.18797  , 111.91687 , 8.48542   , 29.07965  , 4.38461   , 7.85125   , 2.30203   , 
-3.10484  , 47.18797  , 111.91687 , 8.48331   , 29.30454  , 4.31369   , 7.75866   , 2.24217   , 
-3.10484  , 47.18797  , 111.91687 , 8.48014   , 29.52755  , 4.24363   , 7.66659   , 2.18388   , 
-3.10484  , 47.18797  , 111.91687 , 8.47596   , 29.74869  , 4.17441   , 7.57504   , 2.1271    , 
-3.10484  , 47.18797  , 111.91687 , 8.47077   , 29.96796  , 4.10605   , 7.48404   , 2.07179   , 
-3.10484  , 47.18797  , 111.91687 , 8.46459   , 30.18536  , 4.03855   , 7.3936    , 2.01792   , 
-3.10484  , 47.18797  , 111.91687 , 8.45745   , 30.40089  , 3.9719    , 7.30374   , 1.96546   , 
-3.10484  , 47.18797  , 111.91687 , 8.44937   , 30.61456  , 3.90609   , 7.21446   , 1.91436   , 
-3.10484  , 47.18797  , 111.91687 , 8.44037   , 30.82637  , 3.84114   , 7.12579   , 1.86458   , 
-3.10484  , 47.18797  , 111.91687 , 8.43046   , 31.03633  , 3.77703   , 7.03773   , 1.8161    , 
-3.10484  , 47.18797  , 111.91687 , 8.41967   , 31.24444  , 3.71377   , 6.95029   , 1.76889   , 
-3.10484  , 47.18797  , 111.91687 , 8.40802   , 31.45071  , 3.65135   , 6.8635    , 1.72289   , 
-3.10484  , 47.18797  , 111.91687 , 8.39553   , 31.65515  , 3.58977   , 6.77734   , 1.6781    , 
-3.10484  , 47.18797  , 111.91687 , 8.38221   , 31.85775  , 3.52902   , 6.69184   , 1.63447   , 
-3.10484  , 47.18797  , 111.91687 , 8.36809   , 32.05853  , 3.4691    , 6.60701   , 1.59197   , 
-3.10484  , 47.18797  , 111.91687 , 8.35318   , 32.2575   , 3.41      , 6.52284   , 1.55058   , 
-3.10484  , 47.18797  , 111.91687 , 8.3375    , 32.45466  , 3.35173   , 6.43936   , 1.51027   , 
-3.10484  , 47.18797  , 111.91687 , 8.32108   , 32.65001  , 3.29427   , 6.35656   , 1.471     , 
-3.10484  , 47.18797  , 111.91687 , 8.30393   , 32.84357  , 3.23763   , 6.27445   , 1.43275   , 
-3.10484  , 47.18797  , 111.91687 , 8.28606   , 33.03535  , 3.18179   , 6.19304   , 1.3955    , 
-3.10484  , 47.18797  , 111.91687 , 8.2675    , 33.22535  , 3.12675   , 6.11233   , 1.35922   , 
-3.10484  , 47.18797  , 111.91687 , 8.24826   , 33.41359  , 3.0725    , 6.03234   , 1.32388   , 
-3.10484  , 47.18797  , 111.91687 , 8.22836   , 33.60006  , 3.01905   , 5.95305   , 1.28946   , 
-3.10484  , 47.18797  , 111.91687 , 8.20782   , 33.78478  , 2.96637   , 5.87449   , 1.25593   , 
-3.10484  , 47.18797  , 111.91687 , 8.18665   , 33.96777  , 2.91447   , 5.79664   , 1.22328   , 
-3.10484  , 47.18797  , 111.91687 , 8.16488   , 34.14902  , 2.86334   , 5.71952   , 1.19147   , 
-3.10484  , 47.18797  , 111.91687 , 8.14251   , 34.32855  , 2.81297   , 5.64312   , 1.16049   , 
-3.10484  , 47.18797  , 111.91687 , 8.11956   , 34.50637  , 2.76336   , 5.56745   , 1.13032   , 
-3.10484  , 47.18797  , 111.91687 , 8.09606   , 34.68248  , 2.7145    , 5.49251   , 1.10093   , 
-3.10484  , 47.18797  , 111.91687 , 8.072     , 34.85691  , 2.66638   , 5.4183    , 1.07231   , 
-3.10484  , 47.18797  , 111.91687 , 8.04742   , 35.02966  , 2.61899   , 5.34483   , 1.04443   , 
-3.10484  , 47.18797  , 111.91687 , 8.02233   , 35.20073  , 2.57233   , 5.27209   , 1.01727   , 
-3.10484  , 47.18797  , 111.91687 , 7.99674   , 35.37015  , 2.52639   , 5.20008   , 0.99082   , 
-3.10484  , 47.18797  , 111.91687 , 7.97066   , 35.53791  , 2.48117   , 5.12881   , 0.96506   , 
-3.10484  , 47.18797  , 111.91687 , 7.94411   , 35.70404  , 2.43665   , 5.05827   , 0.93997   , 
-3.10484  , 47.18797  , 111.91687 , 7.91711   , 35.86855  , 2.39282   , 4.98847   , 0.91553   , 
-3.10484  , 47.18797  , 111.91687 , 7.88966   , 36.03143  , 2.34969   , 4.9194    , 0.89173   , 
-3.10484  , 47.18797  , 111.91687 , 7.86179   , 36.19271  , 2.30724   , 4.85106   , 0.86854   , 
-3.10484  , 47.18797  , 111.91687 , 7.83351   , 36.3524   , 2.26546   , 4.78346   , 0.84596   , 
-3.10484  , 47.18797  , 111.91687 , 7.80482   , 36.51051  , 2.22436   , 4.71658   , 0.82397   , 
-3.10484  , 47.18797  , 111.91687 , 7.77575   , 36.66705  , 2.18391   , 4.65043   , 0.80254   , 
-3.10484  , 47.18797  , 111.91687 , 7.7463    , 36.82203  , 2.14411   , 4.58501   , 0.78168   , 
-3.10484  , 47.18797  , 111.91687 , 7.71649   , 36.97546  , 2.10496   , 4.52031   , 0.76135   , 
-3.10484  , 47.18797  , 111.91687 , 7.68633   , 37.12736  , 2.06644   , 4.45633   , 0.74156   , 
-3.10484  , 47.18797  , 111.91687 , 7.65584   , 37.27773  , 2.02855   , 4.39308   , 0.72228   , 
-3.10484  , 47.18797  , 111.91687 , 7.62502   , 37.42659  , 1.99129   , 4.33053   , 0.7035    , 
-3.10484  , 47.18797  , 111.91687 , 7.59389   , 37.57395  , 1.95463   , 4.26871   , 0.68521   , 
-3.10484  , 47.18797  , 111.91687 , 7.56246   , 37.71983  , 1.91858   , 4.20759   , 0.66739   , 
-3.10484  , 47.18797  , 111.91687 , 7.53074   , 37.86423  , 1.88313   , 4.14718   , 0.65004   , 
-3.10484  , 47.18797  , 111.91687 , 7.49874   , 38.00716  , 1.84827   , 4.08747   , 0.63314   , 
-3.10484  , 47.18797  , 111.91687 , 7.46647   , 38.14864  , 1.81399   , 4.02846   , 0.61668   , 
-3.10484  , 47.18797  , 111.91687 , 7.43395   , 38.28868  , 1.78029   , 3.97015   , 0.60064   , 
-3.10484  , 47.18797  , 111.91687 , 7.40118   , 38.42729  , 1.74715   , 3.91254   , 0.58503   , 
-3.10484  , 47.18797  , 111.91687 , 7.36818   , 38.56449  , 1.71457   , 3.85561   , 0.56982   , 
-3.10484  , 47.18797  , 111.91687 , 7.33495   , 38.70028  , 1.68254   , 3.79936   , 0.555     , 
-3.10484  , 47.18797  , 111.91687 , 7.30151   , 38.83468  , 1.65106   , 3.7438    , 0.54057   , 
-3.10484  , 47.18797  , 111.91687 , 7.26787   , 38.9677   , 1.62011   , 3.68891   , 0.52652   , 
-3.10484  , 47.18797  , 111.91687 , 7.23402   , 39.09935  , 1.58969   , 3.6347    , 0.51283   , 
-3.10484  , 47.18797  , 111.91687 , 7.2       , 39.22964  , 1.5598    , 3.58115   , 0.49949   , 
-3.10484  , 47.18797  , 111.91687 , 7.16579   , 39.35859  , 1.53041   , 3.52826   , 0.48651   , 
-3.10484  , 47.18797  , 111.91687 , 7.13142   , 39.48621  , 1.50154   , 3.47603   , 0.47386   , 
-3.10484  , 47.18797  , 111.91687 , 7.0969    , 39.61251  , 1.47316   , 3.42446   , 0.46154   , 
-3.10484  , 47.18797  , 111.91687 , 7.06222   , 39.73749  , 1.44528   , 3.37353   , 0.44954   , 
-3.10484  , 47.18797  , 111.91687 , 7.0274    , 39.86118  , 1.41788   , 3.32325   , 0.43785   , 
-3.10484  , 47.18797  , 111.91687 , 6.99245   , 39.98359  , 1.39097   , 3.2736    , 0.42647   , 
-3.10484  , 47.18797  , 111.91687 , 6.95737   , 40.10472  , 1.36452   , 3.22459   , 0.41538   , 
-3.10484  , 47.18797  , 111.91687 , 6.92218   , 40.22459  , 1.33853   , 3.17621   , 0.40458   , 
-3.10484  , 47.18797  , 111.91687 , 6.88688   , 40.34321  , 1.31301   , 3.12845   , 0.39406   , 
-3.10484  , 47.18797  , 111.91687 , 6.85148   , 40.46059  , 1.28793   , 3.0813    , 0.38381   , 
-3.10484  , 47.18797  , 111.91687 , 6.81599   , 40.57674  , 1.2633    , 3.03477   , 0.37383   , 
-3.10484  , 47.18797  , 111.91687 , 6.78041   , 40.69168  , 1.2391    , 2.98885   , 0.36411   , 
-3.10484  , 47.18797  , 111.91687 , 6.74475   , 40.80541  , 1.21534   , 2.94353   , 0.35465   , 
-3.10484  , 47.18797  , 111.91687 , 6.70903   , 40.91796  , 1.19199   , 2.8988    , 0.34543   , 
-3.10484  , 47.18797  , 111.91687 , 6.67323   , 41.02932  , 1.16907   , 2.85467   , 0.33644   , 
-3.10484  , 47.18797  , 111.91687 , 6.63738   , 41.13951  , 1.14655   , 2.81112   , 0.3277    , 
-3.10484  , 47.18797  , 111.91687 , 6.60148   , 41.24855  , 1.12444   , 2.76816   , 0.31918   , 
-3.10484  , 47.18797  , 111.91687 , 6.56554   , 41.35643  , 1.10273   , 2.72577   , 0.31088   , 
-3.10484  , 47.18797  , 111.91687 , 6.52956   , 41.46319  , 1.08141   , 2.68394   , 0.3028    , 
-3.10484  , 47.18797  , 111.91687 , 6.49354   , 41.56881  , 1.06047   , 2.64268   , 0.29492   , 
-3.10484  , 47.18797  , 111.91687 , 6.4575    , 41.67333  , 1.03992   , 2.60198   , 0.28726   , 
-3.10484  , 47.18797  , 111.91687 , 6.42144   , 41.77674  , 1.01973   , 2.56184   , 0.27979   , 
-3.10484  , 47.18797  , 111.91687 , 6.38536   , 41.87906  , 0.99991   , 2.52224   , 0.27251   , 
-3.10484  , 47.18797  , 111.91687 , 6.34928   , 41.9803   , 0.98046   , 2.48318   , 0.26543   , 
-3.10484  , 47.18797  , 111.91687 , 6.31319   , 42.08047  , 0.96136   , 2.44466   , 0.25853   , 
-3.10484  , 47.18797  , 111.91687 , 6.27711   , 42.17958  , 0.94261   , 2.40666   , 0.2518    , 
-3.10484  , 47.18797  , 111.91687 , 6.24103   , 42.27764  , 0.9242    , 2.3692    , 0.24526   , 
-3.10484  , 47.18797  , 111.91687 , 6.20496   , 42.37466  , 0.90613   , 2.33225   , 0.23888   , 
-3.10484  , 47.18797  , 111.91687 , 6.16891   , 42.47066  , 0.8884    , 2.29582   , 0.23267   , 
-3.10484  , 47.18797  , 111.91687 , 6.13289   , 42.56564  , 0.87099   , 2.2599    , 0.22662   , 
-3.10484  , 47.18797  , 111.91687 , 6.09689   , 42.65961  , 0.8539    , 2.22447   , 0.22073   , 
-3.10484  , 47.18797  , 111.91687 , 6.06092   , 42.75259  , 0.83713   , 2.18955   , 0.21499   , 
-3.10484  , 47.18797  , 111.91687 , 6.02499   , 42.84458  , 0.82067   , 2.15512   , 0.2094    , 
-3.10484  , 47.18797  , 111.91687 , 5.9891    , 42.93559  , 0.80452   , 2.12118   , 0.20395   , 
-3.10484  , 47.18797  , 111.91687 , 5.95326   , 43.02564  , 0.78867   , 2.08771   , 0.19865   , 
-3.10484  , 47.18797  , 111.91687 , 5.91746   , 43.11474  , 0.77311   , 2.05473   , 0.19349   , 
-3.10484  , 47.18797  , 111.91687 , 5.88172   , 43.20288  , 0.75784   , 2.02221   , 0.18846   , 
-3.10484  , 47.18797  , 111.91687 , 5.84603   , 43.2901   , 0.74286   , 1.99016   , 0.18356   , 
-3.10484  , 47.18797  , 111.91687 , 5.81041   , 43.37638  , 0.72816   , 1.95857   , 0.17878   , 
-3.10484  , 47.18797  , 111.91687 , 5.77485   , 43.46175  , 0.71374   , 1.92743   , 0.17414   , 
-3.10484  , 47.18797  , 111.91687 , 5.73936   , 43.54622  , 0.69959   , 1.89674   , 0.16961   , 
-3.10484  , 47.18797  , 111.91687 , 5.70393   , 43.62978  , 0.6857    , 1.8665    , 0.1652    , 
-3.10484  , 47.18797  , 111.91687 , 5.66859   , 43.71246  , 0.67208   , 1.83669   , 0.1609    , 
-3.10484  , 47.18797  , 111.91687 , 5.63332   , 43.79426  , 0.65871   , 1.80732   , 0.15672   , 
-3.10484  , 47.18797  , 111.91687 , 5.59813   , 43.87519  , 0.6456    , 1.77838   , 0.15265   , 
-3.10484  , 47.18797  , 111.91687 , 5.56303   , 43.95527  , 0.63274   , 1.74985   , 0.14868   , 
-3.10484  , 47.18797  , 111.91687 , 5.52802   , 44.03449  , 0.62012   , 1.72175   , 0.14481   , 
-3.10484  , 47.18797  , 111.91687 , 5.4931    , 44.11287  , 0.60774   , 1.69406   , 0.14105   , 
-3.10484  , 47.18797  , 111.91687 , 5.45827   , 44.19041  , 0.59559   , 1.66678   , 0.13738   , 
-3.10484  , 47.18797  , 111.91687 , 5.42354   , 44.26714  , 0.58368   , 1.6399    , 0.13381   , 
-3.10484  , 47.18797  , 111.91687 , 5.3889    , 44.34305  , 0.57199   , 1.61341   , 0.13033   , 
-3.10484  , 47.18797  , 111.91687 , 5.35437   , 44.41815  , 0.56053   , 1.58733   , 0.12694   , 
-3.10484  , 47.18797  , 111.91687 , 5.31995   , 44.49246  , 0.54929   , 1.56162   , 0.12364   , 
-3.10484  , 47.18797  , 111.91687 , 5.28563   , 44.56597  , 0.53826   , 1.5363    , 0.12042   , 
-3.10484  , 47.18797  , 111.91687 , 5.25141   , 44.63871  , 0.52745   , 1.51136   , 0.11729   , 
-3.10484  , 47.18797  , 111.91687 , 5.21731   , 44.71068  , 0.51684   , 1.4868    , 0.11424   , 
-3.10484  , 47.18797  , 111.91687 , 5.18333   , 44.78188  , 0.50644   , 1.4626    , 0.11127   , 
-3.10484  , 47.18797  , 111.91687 , 5.14946   , 44.85233  , 0.49624   , 1.43876   , 0.10838   , 
-3.10484  , 47.18797  , 111.91687 , 5.11571   , 44.92203  , 0.48623   , 1.41528   , 0.10556   , 
-3.10484  , 47.18797  , 111.91687 , 5.08207   , 44.99099  , 0.47642   , 1.39216   , 0.10282   , 
-3.10484  , 47.18797  , 111.91687 , 5.04856   , 45.05922  , 0.4668    , 1.36939   , 0.10014   , 
-3.10484  , 47.18797  , 111.91687 , 5.01518   , 45.12673  , 0.45737   , 1.34696   , 0.09754   , 
-3.10484  , 47.18797  , 111.91687 , 4.98192   , 45.19353  , 0.44812   , 1.32488   , 0.095     , 
-3.10484  , 47.18797  , 111.91687 , 4.94878   , 45.25961  , 0.43904   , 1.30313   , 0.09253   , 
-3.10484  , 47.18797  , 111.91687 , 4.91578   , 45.325    , 0.43015   , 1.28171   , 0.09013   , 
-3.10484  , 47.18797  , 111.91687 , 4.8829    , 45.3897   , 0.42143   , 1.26062   , 0.08779   , 
-3.10484  , 47.18797  , 111.91687 , 4.85016   , 45.45371  , 0.41288   , 1.23985   , 0.0855    , 
