"S","A1","A2","P0","P1","P2","R1","R2","Q","t"
30.5856427845626,1.53322708829189,5.33423375618963,155.727057542559,0,-0.0147791640856911,1.28070476333725,6.00610120243015,1,446
30.5240609093929,1.54906434496993,5.38255107281676,155.700182735621,0,-0.0169051444589267,1.28780392025724,6.03209896543558,1,447
30.4623713895483,1.56522952806821,5.42672157518281,155.673348398034,0,-0.0190949807309565,1.29477351457762,6.05934839386302,1,448
30.4005753314065,1.58180205837454,5.46674067902109,155.646556865431,0,-0.0213495772217715,1.3015960565902,6.08790013510626,1,449
30.3386737962616,1.5988624129265,5.50263636187162,155.619810148365,0,-0.0236698310177127,1.3082549653888,6.11779769669581,1,450
30.2766678454077,1.61649106876162,5.53443660127442,155.593110257388,0,-0.0260566392051202,1.31473366006724,6.14908458616219,1,451
30.2145585401389,1.63476850291746,5.56216937476948,155.566459203053,0,-0.028510898870335,1.32101555971934,6.18180431103589,1,452
30.1523469417493,1.65377519243157,5.58586265989681,155.539858995913,0,-0.0310335070996976,1.3270840834389,6.21600037884741,1,453
30.0900341115328,1.67359161434151,5.60554443419643,155.513311646519,0,-0.0336253609795485,1.33292265031975,6.25171629712728,1,454
30.0276211022059,1.6942842845273,5.62125637695648,155.486818977903,0,-0.0362873451105024,1.3385202825875,6.28899113086034,1,455
29.9651089321741,1.71586387423892,5.63309497445772,155.460382063003,0,-0.0390202941502693,1.34388841499497,6.32784617484885,1,456
29.9024986112652,1.73832709356883,5.641170414729,155.434001787238,0,-0.0418250302708339,1.34904408542679,6.36829828134942,1,457
29.8397911493069,1.76167065260947,5.64559288579922,155.407679036024,0,-0.0447023756441802,1.35400433176757,6.41036430261865,1,458
29.7769875561271,1.78589126145329,5.64647257569727,155.38141469478,0,-0.0476531524422923,1.35878619190193,6.45406109091315,1,459
29.7140888415535,1.81098563019275,5.643919672452,155.355209648924,0,-0.0506781828371548,1.36340670371449,6.49940549848953,1,460
29.651096015414,1.8369504689203,5.63804436409232,155.329064783871,0,-0.0537782890007517,1.36788290508988,6.54641437760439,1,461
29.5880101241381,1.86376179391468,5.62896368089789,155.302980843432,0,-0.0569542691375134,1.37223758282162,6.5951002584694,1,462
29.5248323605627,1.89131284619984,5.61682202215164,155.276958004979,0,-0.0602068255816553,1.37651651933896,6.64545838311651,1,463
29.4615639541262,1.919476172986,5.60177062938726,155.250996304275,0,-0.0635366366998382,1.38077124598002,6.69747967153269,1,464
29.3982061342673,1.94812432148338,5.58396074413846,155.225095777085,0,-0.0669443808587239,1.38505329408296,6.75115504370495,1,465
29.3347601304246,1.97712983890222,5.56354360793895,155.199256459173,0,-0.0704307364249735,1.3894141949859,6.80647541962029,1,466
29.2712271720366,2.00636527245275,5.54067046232245,155.173478386302,0,-0.0739963817652481,1.39390548002701,6.86343171926569,1,467
29.2076084885419,2.03570316934518,5.51549254882264,155.147761594237,0,-0.0776419952462093,1.39857868054441,6.92201486262817,1,468
29.1439053093792,2.06501607678976,5.48816110897326,155.122106118741,0,-0.0813682552345181,1.40348532787625,6.98221576969471,1,469
29.0801188911592,2.09417587597213,5.45883976237335,155.096511940107,0,-0.0851758055973511,1.4086777246166,7.04401650609885,1,470
29.0162505991821,2.12305178397963,5.42774164088335,155.070978816744,0,-0.0890651522039437,1.4142112583832,7.10736372006031,1,471
28.9523018259205,2.15151235187503,5.39509225442905,155.045506451591,0,-0.0930367664240465,1.42014208804971,7.17219520544534,1,472
28.8882739638468,2.17942613072109,5.36111711293626,155.020094547587,0,-0.0970911196274108,1.42652637248979,7.23844875612021,1,473
28.8241684054335,2.20666167158058,5.32604172633076,154.994742807669,0,-0.101228683183787,1.43342027057712,7.30606216595118,1,474
28.759986543153,2.23308752551625,5.29009160453834,154.969450934776,0,-0.105449928462925,1.44087994118536,7.37497322880448,1,475
28.6957297694779,2.25857224359089,5.2534922574848,154.944218631846,0,-0.109755326834577,1.44896154318817,7.4451197385464,1,476
28.6313994934939,2.2830025823041,5.21646122548849,154.919045619912,0,-0.114145306244072,1.45771702853189,7.51643738677083,1,477
28.56699719074,2.30633811990297,5.17918417043804,154.893931692379,0,-0.118620120939063,1.46718152145355,7.58885345598224,1,478
28.5025243533687,2.32855664007144,5.14183878461462,154.868876660749,0,-0.123179981742779,1.47738593926285,7.66229312641275,1,479
28.4379824735322,2.34963592649345,5.10460276029944,154.843880336521,0,-0.127825099478452,1.4883611992695,7.73668157829448,1,480
28.373373043383,2.36955376285295,5.06765378977368,154.818942531196,0,-0.132555684969314,1.5001382187832,7.81194399185955,1,481
28.3086975550734,2.38828793283385,5.03116956531852,154.794063056273,0,-0.137371949038595,1.51274791511365,7.88800554734007,1,482
28.2439575007557,2.40581622012012,4.99532777921515,154.769241723253,0,-0.142274102509525,1.52622120557056,7.96479142496817,1,483
28.1791544360991,2.42212805496809,4.96028493591891,154.744478458628,0,-0.14726230175609,1.54058489435675,8.0422266303902,1,484
28.1142901708396,2.43725945392368,4.92611278858167,154.719773648856,0,-0.15233648535528,1.55584933324748,8.12023547090946,1,485
28.0493665782304,2.45125808010522,4.89286190252946,154.695127795388,0,-0.157496537434841,1.57202076091116,8.1987420792435,1,486
27.9843855315241,2.46417159663104,4.86058284308831,154.670541399674,0,-0.162742342122519,1.58910541601619,8.27767058810985,1,487
27.9193489039738,2.47604766661947,4.82932617558424,154.646014963163,0,-0.168073783546056,1.60710953723094,8.35694513022604,1,488
27.8542585688323,2.48693395318882,4.79914246534328,154.621548987308,0,-0.173490745833199,1.62603936322381,8.43648983830964,1,489
27.7891163993527,2.49687811945744,4.77008227769146,154.597143973557,0,-0.178993113111692,1.64590113266321,8.51622884507816,1,490
27.7239243118687,2.50593596403797,4.74218810791541,154.572800283407,0,-0.184580690983437,1.66669657290559,8.59609085915419,1,491
27.6586843950381,2.51419582752034,4.71547017114429,154.548517718536,0,-0.190252970946962,1.68840936605973,8.67602289278032,1,492
27.5933987805998,2.52175418598883,4.68993061246782,154.524295940671,0,-0.196009365974953,1.71101868292247,8.7559765341042,1,493
27.5280696002925,2.52870751552769,4.66557157697578,154.500134611537,0,-0.201849289040094,1.73450369429068,8.83590337127349,1,494
27.4626989858548,2.5351522922212,4.64239520975791,154.476033392857,0,-0.207772153115071,1.75884357096119,8.91575499243581,1,495
27.3972890690257,2.54118499215361,4.62040365590397,154.451991946359,0,-0.21377737117257,1.78401748373086,8.99548298573882,1,496
27.3318419815438,2.54690209140919,4.59959906050371,154.428009933766,0,-0.219864356185275,1.81000460339654,9.07503893933015,1,497
27.2663598551479,2.5524000660722,4.57998356864689,154.404087016804,0,-0.226032521125872,1.83678410075506,9.15437444135744,1,498
27.2008448758013,2.55776474816161,4.56156725753995,154.380222649172,0,-0.232281181168244,1.86433615511268,9.23344156987761,1,499
27.1352994463653,2.56303939343515,4.54439193285616,154.356415452469,0,-0.23860926029107,1.89264497981313,9.31219436258468,1,500
27.0697260239255,2.56825661358525,4.52850733238546,154.332663840268,0,-0.245015584674228,1.92169579670955,9.39058734708196,1,501
