t N Q dS dP0 dP1 dP2 dR1 dR2 dA1 dA2 S P0 P1 P2 R1 R2 A1 A2
14 200 8 -0.367449735773299 -0.0175498866999817 0 -3.466181899122e-05 0.099980844302836 0.160048076559718 0.103357661291496 0.0643465763066 38.7436719042368 158.050065993144 0 0.00117228772784634 0.575347584895351 0.738403924314632 0.914205217385354 1.01483764882586
15 200 8 -0.427258525030901 -0.0299141661660087 1.00647661214176e-07 -0.000142295943807648 0.114219771163356 0.18117770441562 0.12394963083313 0.0739576767127701 38.3762221684635 158.032516106444 0 0.00113762590885512 0.675328429198187 0.89845200087435 1.01756287867685 1.07918422513246
16 200 8 -0.410983466729398 -0.0388808160610097 1.39222065746675e-07 -0.000254349721384157 0.108838936287494 0.16367463629312 0.12182830215539 0.0727514225233601 37.9489636434326 158.002601940278 1.00647661214176e-07 0.000995329965047472 0.789548200361543 1.07962970528997 1.14151250950998 1.15314190184523
17 200 8 -0.4781714624717 -0.0579470218739857 1.98864879926832e-07 -0.000455839009627148 0.127432349972143 0.17570849811391 0.14324222535739 0.0882432445153098 37.5379801767032 157.963721124217 2.39869726960851e-07 0.000740980243663315 0.898387136649037 1.24330434158309 1.26334081166537 1.22589332436859
18 200 8 -0.5063166444478 -0.0760943802320071 2.51554957405313e-07 -0.000285141234036167 0.13826338833358 0.17128340782154 0.15172411393055 0.0979786369688 37.0598087142315 157.905774102343 4.38734606887683e-07 0.000285141234036167 1.02581948662118 1.419012839697 1.40658303702276 1.3141365688839
19 200 8 -0.484692371899399 -0.0864970120809971 2.76831927382189e-07 0 0.13737612391688 0.15423044087569 0.14394724114913 0.0974876592174001 36.5534920697837 157.829679722111 6.90289564292996e-07 0 1.16408287495476 1.59029624751854 1.55830715095331 1.4121152058527
20 200 8 -0.558748557559603 -0.115180674062003 3.57114787189295e-07 0 0.16576811116548 0.17244582345181 0.16300252801079 0.11523923908057 36.0687996978843 157.74318271003 9.67121491675185e-07 0 1.30145899887164 1.74452668839423 1.70225439210244 1.5096028650701
21 200 8 -0.582907222205101 -0.135983530045991 4.0729959764207e-07 0 0.18158735935139 0.18114797424016 0.16538803074613 0.12118175515991 35.5100511403247 157.628002035968 1.32423627886448e-06 0 1.46722711003712 1.91697251184604 1.86525692011323 1.62484210415067
22 200 8 -0.548456736069198 -0.140051698023996 4.0436555349273e-07 0 0.17762747466288 0.17756129654984 0.15041355071877 0.1128733938438 34.9271439181196 157.492018505922 1.73153587650655e-06 0 1.64881446938851 2.0981204860862 2.03064495085936 1.74602385931058
23 200 8 -0.622161408159599 -0.168127771374003 4.6434892444596e-07 0 0.20755858532778 0.21494040183643 0.16406190471111 0.12458230878662 34.3786871820504 157.351966807898 2.13590142999928e-06 0 1.82644194405139 2.27568178263604 2.18105850157813 1.85889725315438
24 200 8 -0.582399901172003 -0.159646359562004 4.1598308080546e-07 0 0.19885639756091 0.2169754300315 0.14721046589252 0.11149183061423 33.7565257738908 157.183839036524 2.60025035444524e-06 0 2.03400052937917 2.49062218447247 2.34512040628924 1.983479561941
25 200 8 -0.659372040561095 -0.173828705830999 4.1255933669174e-07 0 0.22876848011907 0.26454974064531 0.15959671260156 0.11847840874381 33.1741258727188 157.024192676962 3.0162334352507e-06 0 2.23285692694008 2.70759761450397 2.49233087218176 2.09497139255523
26 200 8 -0.679384092532402 -0.163860824851014 3.1138865567117e-07 0 0.23694397769713 0.29068773127368 0.15738140710782 0.11289183217968 32.5147538321577 156.850363971131 3.42879277194244e-06 0 2.46162540705915 2.97214735514928 2.65192758478332 2.21344980129904
27 200 8 -0.634683932375001 -0.136480034397977 1.3517077621926e-07 0 0.21874397551698 0.28407168074582 0.14133810692289 0.0977222409186402 31.8353697396253 156.68650314628 3.74018142761361e-06 0 2.69856938475628 3.26283508642296 2.80930899189114 2.32634163347872
28 200 8 -0.715245086151498 -0.135234829636005 -9.64727321654103e-08 0 0.23962314115105 0.33188391851474 0.15285825512544 0.10248784234092 31.2006858072503 156.550023111882 3.87535220383287e-06 0 2.91731336027326 3.54690676716878 2.95064709881403 2.42406387439736
29 200 8 -0.663451758783502 -0.110441739730021 -3.9758391412674e-07 0 0.21570288744048 0.31871464702626 0.13462430325185 0.0893231932528002 30.4854407210988 156.414788282246 3.77887947166746e-06 0 3.15693650142431 3.87879068568352 3.10350535393947 2.52655171673828
30 200 8 -0.740833476503298 -0.110728745486 -8.9311110123966e-07 0 0.23718151692936 0.36743373166917 0.13968620121075 0.0955591032366798 29.8219889623153 156.304346542516 3.38129555754072e-06 0 3.37263938886479 4.19750533270978 3.23812965719132 2.61587490999108
31 200 8 -0.748485667315801 -0.103970088404992 -1.50592298374535e-06 0 0.24227002925045 0.37999785385644 0.12682499158436 0.0951161118778803 29.081155485812 156.19361779703 2.48818445630106e-06 0 3.60982090579415 4.56493906437895 3.37781585840207 2.71143401322776
