"S","A","R","P","C","dS","dA","dR","dP","dC","Q","N","uc_F","lc_f","mu","lmda","phi","kappa","epsilon","t"
51.63128,0,7.67853,181.68515,0,-0.0418999999999983,0,0.0418599999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,98
51.58938,0,7.72039,181.68515,0,-0.0418699999999959,0,0.0418399999999997,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,99
51.54751,0,7.76223,181.68515,0,-0.0418300000000045,0,0.0417900000000007,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,100
51.50568,0,7.80402,181.68515,0,-0.0417899999999989,0,0.0417699999999996,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,101
51.46389,0,7.84579,181.68515,0,-0.0417699999999996,0,0.0417300000000003,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,102
51.42212,0,7.88752,181.68515,0,-0.0417300000000012,0,0.04169,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,103
51.38039,0,7.92921,181.68515,0,-0.0416899999999956,0,0.0416599999999994,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,104
51.3387,0,7.97087,181.68515,0,-0.0416600000000003,0,0.0416299999999996,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,105
51.29704,0,8.0125,181.68515,0,-0.0416300000000049,0,0.0416000000000007,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,106
51.25541,0,8.0541,181.68515,0,-0.0415999999999954,0,0.0415600000000005,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,107
51.21381,0,8.09566,181.68515,0,-0.041560000000004,0,0.0415200000000002,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,108
51.17225,0,8.13718,181.68515,0,-0.0415199999999984,0,0.0414999999999992,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,109
51.13073,0,8.17868,181.68515,0,-0.0414999999999992,0,0.0414499999999993,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,110
51.08923,0,8.22013,181.68515,0,-0.0414600000000007,0,0.0414300000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,111
51.04777,0,8.26156,181.68515,0,-0.0414200000000022,0,0.0413899999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,112
51.00635,0,8.30295,181.68515,0,-0.0413899999999998,0,0.041360000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,113
50.96496,0,8.34431,181.68515,0,-0.0413599999999974,0,0.0413300000000003,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,114
50.9236,0,8.38564,181.68515,0,-0.0413300000000021,0,0.04129,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,115
50.88227,0,8.42693,181.68515,0,-0.0412899999999965,0,0.0412499999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,116
50.84098,0,8.46818,181.68515,0,-0.0412600000000012,0,0.0412300000000005,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,117
50.79972,0,8.50941,181.68515,0,-0.0412200000000027,0,0.0411899999999985,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,118
50.7585,0,8.5506,181.68515,0,-0.0411900000000003,0,0.0411600000000014,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,119
50.71731,0,8.59176,181.68515,0,-0.0411599999999979,0,0.0411199999999994,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,120
50.67615,0,8.63288,181.68515,0,-0.0411199999999994,0,0.0410900000000005,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,121
50.63503,0,8.67397,181.68515,0,-0.041089999999997,0,0.0410599999999999,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,122
50.59394,0,8.71503,181.68515,0,-0.0410600000000017,0,0.0410199999999996,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,123
50.55288,0,8.75605,181.68515,0,-0.0410200000000032,0,0.0409900000000007,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,124
50.51186,0,8.79704,181.68515,0,-0.0409999999999968,0,0.0409599999999983,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,125
50.47086,0,8.838,181.68515,0,-0.0409500000000023,0,0.0409300000000012,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,126
50.42991,0,8.87893,181.68515,0,-0.040930000000003,0,0.0408899999999992,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,127
50.38898,0,8.91982,181.68515,0,-0.0408899999999974,0,0.0408500000000007,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,128
50.34809,0,8.96067,181.68515,0,-0.0408600000000021,0,0.0408299999999997,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,129
50.30723,0,9.0015,181.68515,0,-0.0408199999999965,0,0.0407899999999994,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,130
50.26641,0,9.04229,181.68515,0,-0.0407900000000012,0,0.0407600000000006,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,131
50.22562,0,9.08305,181.68515,0,-0.0407599999999988,0,0.0407200000000003,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,132
50.18486,0,9.12377,181.68515,0,-0.0407300000000035,0,0.0406999999999993,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,133
50.14413,0,9.16447,181.68515,0,-0.0406899999999979,0,0.0406600000000008,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,134
50.10344,0,9.20513,181.68515,0,-0.0406600000000026,0,0.0406199999999988,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,135
50.06278,0,9.24575,181.68515,0,-0.040619999999997,0,0.0406000000000013,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,136
50.02216,0,9.28635,181.68515,0,-0.0405999999999977,0,0.0405599999999993,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,137
49.98156,0,9.32691,181.68515,0,-0.0405599999999993,0,0.0405200000000008,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,138
49.941,0,9.36743,181.68515,0,-0.0405200000000008,0,0.0404999999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,139
49.90048,0,9.40793,181.68515,0,-0.0405000000000015,0,0.0404599999999995,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,140
49.85998,0,9.44839,181.68515,0,-0.040460000000003,0,0.0404300000000006,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,141
49.81952,0,9.48882,181.68515,0,-0.0404300000000006,0,0.0403900000000004,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,142
49.77909,0,9.52921,181.68515,0,-0.0403999999999982,0,0.0403699999999994,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,143
49.73869,0,9.56958,181.68515,0,-0.0403599999999997,0,0.0403299999999991,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,144
49.69833,0,9.60991,181.68515,0,-0.0403299999999973,0,0.0403000000000002,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,145
49.658,0,9.65021,181.68515,0,-0.040300000000002,0,0.04026,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,146
49.6177,0,9.69047,181.68515,0,-0.0402599999999964,0,0.0402300000000011,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,147
49.57744,0,9.7307,181.68515,0,-0.0402400000000043,0,0.0401999999999987,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,148
49.5372,0,9.7709,181.68515,0,-0.0401999999999987,0,0.0401700000000016,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,149
49.497,0,9.81107,181.68515,0,-0.0401600000000002,0,0.0401399999999992,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,150
49.45684,0,9.85121,181.68515,0,-0.040140000000001,0,0.0401000000000007,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,151
49.4167,0,9.89131,181.68515,0,-0.0400999999999954,0,0.0400700000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,152
49.3766,0,9.93138,181.68515,0,-0.0400700000000001,0,0.0400299999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,153
49.33653,0,9.97141,181.68515,0,-0.0400400000000047,0,0.0400099999999988,-2.41970000000001,2.418,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,154
