"S","P0","P1","P2","R1","R2","A1","A2","Q","t"
35.5337935767138,157.677740085916,0.000229270686220854,0.0112850170954561,1.60090543017646,2.64028731985217,1.70308073463665,2.44550968177807,8,221
35.4792792740127,157.668085467259,0.000226940285328143,0.0112660733321576,1.61958363181438,2.66531999763813,1.71108938905028,2.45460492437049,8,222
35.4246264891866,157.658285010429,0.000224442850822084,0.0112416947136383,1.63835716821276,2.69046133875884,1.71909079946598,2.46368355736305,8,223
35.3698355553427,157.648338182846,0.00022177441559928,0.0112117261834085,1.65722569678145,2.71571117921547,1.72708490665429,2.47274543119399,8,224
35.3149068055885,157.638244451932,0.000218931012556336,0.0111760126849787,1.67618887493028,2.74106935500924,1.73507165138573,2.48179039630157,8,225
35.2598405730312,157.628003285106,0.000215908674589855,0.0111343991618595,1.69524636006909,2.76653570214133,1.74305097443083,2.49081830312403,8,226
35.2046371907781,157.617614149789,0.00021270343459644,0.0110867305575613,1.71439780960772,2.79211005661294,1.75102281656015,2.49982900209961,8,227
35.1492969543559,157.607076551353,0.00020931128300089,0.0110328495967042,1.73364286640328,2.81779223347339,1.75898711880458,2.50882234350197,8,228
35.0938200089674,157.596390146972,0.00020572804034079,0.0109725901283477,1.75298111510201,2.84358196396456,1.76694382323657,2.51779817694631,8,229
35.0382064622347,157.585554631773,0.000201949484681918,0.0109057837826607,1.77241212579741,2.86947895837646,1.77489287218895,2.52675635188326,8,230
34.98245642178,157.574569700881,0.000197971394090053,0.0108322621898124,1.791935468583,2.89548292699908,1.78283420799454,2.5356967177634,8,231
34.9265699952253,157.563435049422,0.000193789546630975,0.0107518569799718,1.81155071355228,2.92159358012245,1.79076777298616,2.54461912403737,8,232
34.8705472901928,157.552150372523,0.000189399720370462,0.0106643997833079,1.83125743079876,2.94781062803656,1.79869350949664,2.55352342015577,8,233
34.8143884143046,157.540715365309,0.000184797693374295,0.01056972222999,1.85105519041595,2.97413378103142,1.80661135985879,2.56240945556921,8,234
34.7580933922831,157.529129774455,0.00017997920289184,0.0104676536230355,1.87094354984552,3.0005627309531,1.81452126670676,2.57127707931794,8,235
34.7016619172527,157.517393552831,0.000174939822906818,0.0103580139568564,1.89092201592172,3.02709709587188,1.82242317387992,2.58012613880077,8,236
34.645093599438,157.505506704855,0.000169675086586539,0.010240620898713,1.91099008282699,3.0537364754141,1.83031702551896,2.58895648100616,8,237
34.5883880490636,157.493469234944,0.000164180527098311,0.0101152921158658,1.93114724474375,3.08048046920611,1.83820276576457,2.59776795292256,8,238
34.5315448763543,157.481281147518,0.000158451677609445,0.009981845275575,1.95139299585441,3.10732867687423,1.84608033875745,2.60656040153842,8,239
34.4745636915346,157.468942446994,0.00015248407128725,0.00984009804510117,1.97172683034139,3.13428069804482,1.85394968863827,2.61533367384218,8,240
34.4174441048292,157.456453137791,0.000146273241299033,0.00968986809170466,1.99214824238713,3.16133613234421,1.86181075954774,2.62408761682231,8,241
34.3601856352627,157.443813244018,0.00013981468870724,0.00953097094372225,2.01265671232846,3.18849456848485,1.86966349610832,2.63282207676798,8,242
34.3027874370594,157.431022868556,0.000133103786154851,0.00936321357379636,2.03325166511997,3.21575555152353,1.87750784486962,2.64153689717127,8,243
34.2452485732434,157.418082133976,0.000126135874179981,0.00918640081564578,2.05393251187066,3.24311861560318,1.88534375286304,2.65023192082497,8,244
34.1875681068388,157.404991162849,0.000118906293320745,0.00900033750298933,2.07469866368955,3.2705832948667,1.89317116711996,2.65890699052188,8,245
34.1297451008698,157.391750077747,0.000111410384115258,0.00880482846954579,2.09554953168564,3.298149123457,1.90099003467178,2.66756194905481,8,246
34.0717786183605,157.378359001242,0.000103643487101636,0.00859967854903399,2.11648452696793,3.32581563551698,1.90880030254988,2.67619663921655,8,247
34.0136677223351,157.364818055905,9.56009428179931e-05,0.00838469257517272,2.13750306064544,3.35358236518956,1.91660191778566,2.6848109037999,8,248
33.9554113914518,157.351127341582,8.72780726346688e-05,0.00815967371957368,2.15860452909936,3.38144884055426,1.92439482775294,2.69340458535553,8,249
33.8970082669047,157.337286867222,7.86701212508976e-05,0.00792441850542012,2.17978826979967,3.40941456543707,1.93217898119519,2.70197752546552,8,250
33.838456905522,157.323296619047,6.97723141981381e-05,0.00767872179378816,2.20105360548854,3.43747903760058,1.93995432719834,2.71052956546981,8,251
33.7797558641319,157.309156583281,6.05798770078491e-05,0.00742237844575394,2.22239985890812,3.46564175480741,1.9477208148483,2.71906054670835,8,252
33.7209036995625,157.294866746145,5.10880352114891e-05,0.0071551833223936,2.24382635280059,3.49390221482015,1.95547839323099,2.72757031052109,8,253
33.6618989686422,157.280427093863,4.12920143405167e-05,0.00687693128478326,2.26533240990811,3.52225991540141,1.9632270114323,2.73605869824797,8,254
33.602740173824,157.265837595821,3.1187031884245e-05,0.0065874158353782,2.28691734009178,3.55071434716708,1.9709666184981,2.7445255510743,8,255
