"S","A1","A2","P1","P2","R1","R2","t","Q","N"
16.5923139731959,5.48371466249518,2.40591162823841,4.02374760310707e-08,0.000301507253097742,4.13357448736916,14.0841776607236,488,8,200
16.5205345925579,5.49237600444546,2.39582737371432,4.02374760310707e-08,0.000304089015660413,4.12057513591901,14.1767098023225,489,8,200
16.4488116458497,5.50100016998243,2.38550293291538,4.02374760310707e-08,0.000306687696536401,4.10702237127795,14.2696099092948,490,8,200
16.3771454809183,5.50958689401731,2.37493295203612,4.02374760310707e-08,0.000309303363254749,4.09290112970813,14.3628808248206,491,8,200
16.3055364231116,5.51813590522257,2.36411203386152,4.02374760310707e-08,0.000311936083902845,4.07819632769322,14.4565256148212,492,8,200
16.233984773197,5.52664692597186,2.35303475999454,4.02374760310707e-08,0.000314585927166941,4.06289293390984,14.5505475677321,493,8,200
16.1624908053628,5.53511967230548,2.3416957134786,4.02374760310707e-08,0.000317252962372414,4.04697604181897,14.6449501930408,494,8,200
16.0910547653271,5.54355385392218,2.3300895016191,4.02374760310707e-08,0.000319937259523528,4.03043094223995,14.7397372185866,495,8,200
16.0196768685731,5.55194917419732,2.31821077879943,4.02374760310707e-08,0.000322638889342485,4.01324319524813,14.8349125866302,496,8,200
15.9483572987339,5.56030533022758,2.30605426908002,4.02374760310707e-08,0.000325357923307535,3.99539870072083,14.9304804487141,497,8,200
15.8770962061453,5.56862201290196,2.29361478836345,4.02374760310707e-08,0.000328094433689942,3.97688376684516,15.0264451593441,498,8,200
15.8058937065871,5.57689890699871,2.28088726590518,4.02374760310707e-08,0.000330848493589584,3.95768517589567,15.1228112685354,499,8,200
15.7347498802303,5.58513569130731,2.26786676494754,4.02374760310707e-08,0.000333620176969008,3.93779024659034,15.2195835132778,500,8,200
15.6636647708072,5.59333203877474,2.25454850225455,4.02374760310707e-08,0.00033640955868574,3.91718689234014,15.3167668079871,501,8,200
15.59263838502,5.60148761667468,2.24092786632773,4.02374760310707e-08,0.000339216714522687,3.89586367472063,15.4143662340206,502,8,200
15.5216706922009,5.6096020867982,2.2270004340869,4.02374760310707e-08,0.000342041721216474,3.87380985151417,15.5123870283455,503,8,200
15.4507616242348,5.61767510566426,2.21276198580691,4.02374760310707e-08,0.000344884656483587,3.85101541869816,15.6108345714623,504,8,200
15.3799110757556,5.62570632474797,2.19820851810963,4.02374760310707e-08,0.000347745599044193,3.82747114578886,15.7097143746926,505,8,200
