A, S, R, P, C,
0.0       , 23.37909  , 10.77752  , 197.79512 , 16.02318  , 
0.0       , 23.28194  , 10.87448  , 195.93972 , 17.87766  , 
0.0       , 23.18454  , 10.97169  , 194.06954 , 19.74689  , 
0.0       , 23.08688  , 11.06914  , 192.18461 , 21.63083  , 
0.0       , 22.98897  , 11.16685  , 190.28495 , 23.52944  , 
0.0       , 22.89083  , 11.26479  , 188.37062 , 25.44269  , 
0.0       , 22.79244  , 11.36298  , 186.44164 , 27.37053  , 
0.0       , 22.69382  , 11.46139  , 184.49807 , 29.31291  , 
0.0       , 22.59497  , 11.56002  , 182.53996 , 31.26979  , 
0.0       , 22.4959   , 11.65888  , 180.56735 , 33.24111  , 
0.0       , 22.39662  , 11.75795  , 178.58031 , 35.2268   , 
0.0       , 22.29712  , 11.85723  , 176.57889 , 37.2268   , 
0.0       , 22.19741  , 11.95672  , 174.56318 , 39.24104  , 
0.0       , 22.09751  , 12.0564   , 172.53322 , 41.26945  , 
0.0       , 21.9974   , 12.15628  , 170.48912 , 43.31195  , 
0.0       , 21.89711  , 12.25634  , 168.43094 , 45.36844  , 
0.0       , 21.79664  , 12.35659  , 166.35877 , 47.43885  , 
0.0       , 21.69598  , 12.45701  , 164.27271 , 49.52306  , 
0.0       , 21.59515  , 12.55761  , 162.17286 , 51.62098  , 
0.0       , 21.49415  , 12.65837  , 160.05933 , 53.7325   , 
0.0       , 21.39299  , 12.75929  , 157.93222 , 55.85749  , 
0.0       , 21.29167  , 12.86036  , 155.79166 , 57.99584  , 
0.0       , 21.1902   , 12.96158  , 153.63778 , 60.14741  , 
0.0       , 21.08859  , 13.06295  , 151.4707  , 62.31206  , 
0.0       , 20.98684  , 13.16445  , 149.29057 , 64.48964  , 
0.0       , 20.88495  , 13.26608  , 147.09755 , 66.68     , 
0.0       , 20.78294  , 13.36784  , 144.8918  , 68.88296  , 
0.0       , 20.68081  , 13.46972  , 142.67347 , 71.09835  , 
0.0       , 20.57855  , 13.5717   , 140.44276 , 73.32599  , 
0.0       , 20.47619  , 13.6738   , 138.19985 , 75.56568  , 
0.0       , 20.37373  , 13.776    , 135.94494 , 77.8172   , 
0.0       , 20.27117  , 13.87829  , 133.67825 , 80.08033  , 
0.0       , 20.16852  , 13.98067  , 131.4     , 82.35485  , 
0.0       , 20.06578  , 14.08313  , 129.11043 , 84.6405   , 
0.0       , 19.96296  , 14.18567  , 126.80979 , 86.93702  , 
0.0       , 19.86007  , 14.28828  , 124.49834 , 89.24413  , 
0.0       , 19.75711  , 14.39095  , 122.17637 , 91.56154  , 
0.0       , 19.65409  , 14.49369  , 119.84417 , 93.88893  , 
0.0       , 19.55102  , 14.59647  , 117.50206 , 96.22598  , 
0.0       , 19.4479   , 14.6993   , 115.15038 , 98.57234  , 
0.0       , 19.34473  , 14.80217  , 112.78947 , 100.92762 , 
0.0       , 19.24153  , 14.90508  , 110.41972 , 103.29146 , 
0.0       , 19.1383   , 15.00801  , 108.04152 , 105.66341 , 
0.0       , 19.03504  , 15.11096  , 105.65529 , 108.04304 , 
0.0       , 18.93177  , 15.21392  , 103.26148 , 110.42989 , 
0.0       , 18.82849  , 15.3169   , 100.86057 , 112.82344 , 
0.0       , 18.7252   , 15.41988  , 98.45306  , 115.22317 , 
0.0       , 18.62191  , 15.52285  , 96.03949  , 117.62851 , 
0.0       , 18.51863  , 15.62581  , 93.62043  , 120.03885 , 
0.0       , 18.41536  , 15.72876  , 91.19649  , 122.45356 , 
0.0       , 18.31211  , 15.83168  , 88.76832  , 124.87195 , 
0.0       , 18.20889  , 15.93458  , 86.3366   , 127.29328 , 
0.0       , 18.1057   , 16.03744  , 83.90209  , 129.71678 , 
0.0       , 18.00255  , 16.14026  , 81.46556  , 132.14161 , 
0.0       , 17.89945  , 16.24303  , 79.02785  , 134.56688 , 
0.0       , 17.79639  , 16.34575  , 76.58988  , 136.99163 , 
0.0       , 17.6934   , 16.44841  , 74.15259  , 139.41483 , 
0.0       , 17.59046  , 16.551    , 71.71704  , 141.83539 , 
0.0       , 17.4876   , 16.65352  , 69.28431  , 144.25212 , 
0.0       , 17.38481  , 16.75596  , 66.8556   , 146.66377 , 
0.0       , 17.2821   , 16.85832  , 64.43219  , 149.06896 , 
0.0       , 17.17948  , 16.96058  , 62.01545  , 151.46623 , 
0.0       , 17.07695  , 17.06275  , 59.60685  , 153.85402 , 
0.0       , 16.97453  , 17.16482  , 57.20798  , 156.23061 , 
0.0       , 16.87221  , 17.26678  , 54.82055  , 158.59417 , 
0.0       , 16.77     , 17.36862  , 52.44639  , 160.94275 , 
0.0       , 16.66791  , 17.47034  , 50.0875   , 163.27421 , 
0.0       , 16.56594  , 17.57194  , 47.746    , 165.58626 , 
0.0       , 16.46411  , 17.67341  , 45.42421  , 167.87642 , 
0.0       , 16.3624   , 17.77473  , 43.12461  , 170.14205 , 
