t N Q dS dP0 dP1 dP2 dR1 dR2 dA1 dA2
54 150 0 -0.0253609126838086 -2.18847162614111e-12 0 0 -0.000291900952707855 0.025652813635774 0 0
55 150 0 -0.0263420325867827 -2.1032064978499e-12 0 0 -4.56944284168426e-05 0.0263877270144965 0 0
56 150 0 -0.0272627360661843 -2.01794136955868e-12 0 0 0.000230439795460911 0.027032296270032 0 0
57 150 0 -0.0281068160083393 -1.93267624126747e-12 0 0 0.000538516652119118 0.0275682993555865 0 0
58 150 0 -0.0288561873020186 -1.80477854883065e-12 0 0 0.000880637310842723 0.0279755499905575 0 0
59 150 0 -0.0295008386710265 -1.80477854883065e-12 0 0 0.00125784385884267 0.0282429948115727 0 0
60 150 0 -0.0300156938991663 -1.84741111297626e-12 0 0 0.00167260071324347 0.0283430931853103 0 0
61 150 0 -0.030395650520866 -1.89004367712187e-12 0 0 0.0021258779872436 0.0282697725329804 0 0
62 150 0 -0.0306515999969861 -2.07478478841949e-12 0 0 0.00261945065602567 0.0280321493402605 0 0
63 150 0 -0.030809609344054 -2.25952589971712e-12 0 0 0.00315510848656099 0.0276545008567246 0 0
64 150 0 -0.0308825719591752 -2.64321897702757e-12 0 0 0.00373365655275867 0.0271489154055284 0 0
65 150 0 -0.0308971610024713 -2.95585778076202e-12 0 0 0.00435687939220173 0.0265402816092676 0 0
66 150 0 -0.0308638759193869 -3.36797256750287e-12 0 0 0.00502542234630026 0.0258384535719491 0 0
67 150 0 -0.0308015829066264 -3.78008735424373e-12 0 0 0.00574025056325824 0.0250613323420805 0 0
68 150 0 -0.0307282794204298 -4.2632564145606e-12 0 0 0.00650223653067802 0.0242260428883198 0 0
69 150 0 -0.0306508821687856 -4.73221462016227e-12 0 0 0.00731159666704164 0.0233392855001492 0 0
70 150 0 -0.0305851253695337 -5.10169684275752e-12 0 0 0.00816847878687741 0.0224166465809233 0 0
71 150 0 -0.0305433189030921 -5.44275735592237e-12 0 0 0.00907275267327366 0.021470566227955 0 0
72 150 0 -0.0305306986835134 -5.86908299737843e-12 0 0 0.0100240388228311 0.0205066598586851 0 0
73 150 0 -0.0305592736192963 -6.25277607468888e-12 0 0 0.0110209975371999 0.0195382760799739 0 0
74 150 0 -0.0306334171260616 -6.63646915199934e-12 0 0 0.0120628930118816 0.0185705241119133 0 0
75 150 0 -0.0307595284564144 -7.0627947934554e-12 0 0 0.0131475597772098 0.0176119686768071 0 0
76 150 0 -0.0309426367939523 -7.48912043491146e-12 0 0 0.0142723491531775 0.0166702876382266 0 0
77 150 0 -0.0311842398323776 -7.94386778579792e-12 0 0 0.0154354173874465 0.0157488224422262 0 0
78 150 0 -0.0314866703514483 -8.37019342725398e-12 0 0 0.0166316372707627 0.0148550330778304 0 0
79 150 0 -0.0318503407408102 -8.85336248757085e-12 0 0 0.0178586401917121 0.013991700546086 0 0
80 150 0 -0.0322739164734571 -9.2512664195965e-12 0 0 0.0191107140672604 0.0131632024030357 0 0
81 150 0 -0.0327546215210717 -9.77706804405898e-12 0 0 0.020381312701781 0.0123733088159825 0 0
82 150 0 -0.0332898952560399 -1.02460262496606e-11 0 0 0.0216663925964523 0.011623502656087 0 0
83 150 0 -0.0338721003906457 -1.07860387288383e-11 0 0 0.0229552391425137 0.0109168612444749 0 0
84 150 0 -0.0344975383351738 -1.13118403533008e-11 0 0 0.0242431076874607 0.0102544306438781 0 0
85 150 0 -0.0351567121714211 -1.18802745419089e-11 0 0 0.0255192455090323 0.00963746665835508 0 0
86 150 0 -0.0358384732445174 -1.24913412946626e-11 0 0 0.0267716317229158 0.00906684151737525 0 0
87 150 0 -0.0365358725940155 -1.30739863379858e-11 0 0 0.0279932045529012 0.00854266803667447 0 0
88 150 0 -0.0372304737649785 -1.37276856548851e-11 0 0 0.0291656717781518 0.00806480198217541 0 0
89 150 0 -0.0379141547218751 -1.42961198434932e-11 0 0 0.0302811351868892 0.00763301953012796 0 0
90 150 0 -0.0385685920972634 -1.49213974509621e-11 0 0 0.0313222939546674 0.00724629813754829 0 0
91 150 0 -0.0391731862484619 -1.54898316395702e-11 0 0 0.0322698221322404 0.00690336411095882 0 0
92 150 0 -0.0397162670175391 -1.61435309564695e-11 0 0 0.0331129577594237 0.00660330925265917 0 0
93 150 0 -0.0401682404939194 -1.6740386854508e-11 0 0 0.0338246537881549 0.00634358670009538 0 0
94 150 0 -0.0405219644529637 -1.73656644619768e-11 0 0 0.0343989406959048 0.00612302375117624 0 0
95 150 0 -0.04078364516063 -1.79909420694457e-11 0 0 0.0348447709223182 0.00593887423221662 0 0
96 150 0 -0.0409742638852748 -1.86162196769146e-11 0 0 0.0351860706337082 0.00578819324526214 0 0
97 150 0 -0.04110373490645 -1.92414972843835e-11 0 0 0.0354344761908053 0.00566925870913804 0 0
98 150 0 -0.0411909903270171 -1.97388771994156e-11 0 0 0.0356133991097023 0.00557759121064749 0 0
99 150 0 -0.0412432911599794 -2.01652028408716e-11 0 0 0.0357320306392921 0.00551126051386674 0 0
100 150 0 -0.041272474636294 -2.05773176276125e-11 0 0 0.0358063682838368 0.00546610634551348 0 0
101 150 0 -0.0412879698711919 -2.07762695936253e-11 0 0 0.0358503265123441 0.00543764335181973 0 0
102 150 0 -0.041293172526693 -2.09183781407773e-11 0 0 0.0358696998387329 0.00542347268089061 0 0
103 150 0 -0.0412947641229238 -2.09752215596382e-11 0 0 0.0358770902195342 0.005417673896293 0 0
